Jahr,Land,Schule,Klassenstufe,Klasse,Name,Team,Aufgabe,Punkte
2024,,,Schuljahre 9 und 10,RPS,gcytw,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,gnwmq,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,PTI,ehzmp,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,PTI,tseqa,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,KVZ,xvrfq,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,PTI,vjsai,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,RPS,fmgzi,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,KVZ,zvnpa,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,PTI,awcru,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,CTP,urigw,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,pngyi,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,RPS,sodkh,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,CTP,axpsi,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,ARJ,awply,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,RPS,kyeqr,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,KVZ,dbuqp,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,vqiyn,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,ARJ,ugzdp,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,ARJ,bnvec,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,blxsv,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,KVZ,qsigo,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,ARJ,cnlvu,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,tverz,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,dgbml,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,PTI,hxdyv,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,RPS,wlrmx,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,upafk,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,KVZ,awskt,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,RPS,ohaxz,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,PTI,yesbo,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,ARJ,qvjep,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,KVZ,sdpav,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,KVZ,ropnf,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,KVZ,jhrai,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,jcnar,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,PTI,jynto,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,PTI,rfjiy,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,RPS,bycoq,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,RPS,wujvq,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,itrzk,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,KVZ,xicep,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,uypbd,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,hmkyf,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,RPS,yhmjf,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,KVZ,jxmwd,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,mrlxy,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,CTP,mlyor,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,CTP,rauml,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,PTI,xfvcu,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,PTI,udcte,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,CTP,ilbwq,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,CTP,tgrdm,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,RPS,xadfw,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,htfnm,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,PTI,vmbig,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,CTP,wfjki,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,ARJ,vawou,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,CTP,yxuvm,,Ballon-Maschine,-3
2024,,,Schuljahre 9 und 10,PTI,fcgyi,,Ballon-Maschine,0
2024,,,Schuljahre 9 und 10,PTI,jglsk,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,KVZ,bodta,,Ballon-Maschine,9
2024,,,Schuljahre 9 und 10,CTP,tjavh,,Ballon-Maschine,9
